source_file,title,chapter,chapter_no,section,section_no,date_or_page,first_total,first_correct,first_wrong,first_rate,second_total,second_correct,second_wrong,second_rate,has_first_data,has_second_data,section_order,first_rate_pct,second_rate_pct
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,高等数学,,,0,0,0,,0,0,0,,False,False,1,,
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第一章 函数、极限、连续,,,15,12,3,0.8,14,0,14,0.0,True,True,2,80.0,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第二章 一元函数微分学及其应用,,,0,0,0,,0,0,0,0.0,False,True,3,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第三章 一元函数积分学及其应用,,,0,0,0,,0,0,0,0.0,False,True,4,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第四章 空间解析几何,,,0,0,0,,0,0,0,0.0,False,True,5,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第五章 多元函数微分学及其应用,,,0,0,0,,0,0,0,0.0,False,True,6,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第六章 重积分及其应用,,,0,0,0,,0,0,0,0.0,False,True,7,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第七章 微分方程及其应用,,,0,0,0,,0,0,0,0.0,False,True,8,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第八章 无穷级数,,,0,0,0,,0,0,0,0.0,False,True,9,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第九章 曲线积分与曲面积分,,,0,0,0,,0,0,0,0.0,False,True,10,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,高等数学 合计,,,15,12,3,0.8,14,0,14,0.0,True,True,11,80.0,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,线性代数,,,0,0,0,,0,0,0,,False,False,12,,
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第十章 行列式,,,0,0,0,,0,0,0,0.0,False,True,13,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第十一章 矩阵,,,0,0,0,,0,0,0,0.0,False,True,14,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第十二章 向量,,,0,0,0,,0,0,0,0.0,False,True,15,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第十三章 线性方程组,,,0,0,0,,0,0,0,0.0,False,True,16,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第十四章 相似矩阵,,,0,0,0,,0,0,0,0.0,False,True,17,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第十五章 二次型,,,0,0,0,,0,0,0,0.0,False,True,18,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,线性代数 合计,,,0,0,0,,0,0,0,0.0,False,True,19,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,概率论与数理统计,,,0,0,0,,0,0,0,,False,False,20,,
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第十六章 随机事件及其概率,,,0,0,0,,0,0,0,0.0,False,True,21,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第十七章 随机变量及其分布,,,0,0,0,,0,0,0,0.0,False,True,22,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第十八章 多维随机变量及其分布,,,0,0,0,,0,0,0,0.0,False,True,23,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第十九章 随机变量的数字特征,,,0,0,0,,0,0,0,0.0,False,True,24,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第二十章 大数定律与中心极限定理,,,0,0,0,,0,0,0,0.0,False,True,25,,0.0
03_李林880专题.csv,李林880专题 （选择&填空）习题正确率记录,未分章,,第二十一章 数理统计的基本概念,,,0,0,0,,0,0,0,0.0,False,True,26,,0.0
